year,month,revenue
BMO-2019,1,0.12
BMO-2019,2,2.34
BMO-2019,3,1.34
BMO-2019,4,2.46
BMO-2019,5,null
BMO-2019,6,null
BMO-2019,7,null
BMO-2019,8,null
BMO-2019,9,null
BMO-2019,10,null
BMO-2019,11,null
BMO-2019,12,null
BMO-2018,1,0.64
BMO-2018,2,0.98
BMO-2018,3,2.03
BMO-2018,4,2.71
BMO-2018,5,15.24
BMO-2018,6,15.79
BMO-2018,7,27.58
BMO-2018,8,27.62
BMO-2018,9,53.14
BMO-2018,10,54.58
BMO-2018,11,84.58
BMO-2018,12,84.96
BMO-2017,1,0.15
BMO-2017,2,1.46
BMO-2017,3,3.20
BMO-2017,4,4.72
BMO-2017,5,6.78
BMO-2017,6,29.62
BMO-2017,7,26.51
BMO-2017,8,30.23
BMO-2017,9,31.72
BMO-2017,10,33.67
BMO-2017,11,40.88
BMO-2017,12,61.03
