year,month,revenue
CIBC-2019,1,3.10
CIBC-2019,2,6.86
CIBC-2019,3,12.00
CIBC-2019,4,14.82
CIBC-2019,5,null
CIBC-2019,6,null
CIBC-2019,7,null
CIBC-2019,8,null
CIBC-2019,9,null
CIBC-2019,10,null
CIBC-2019,11,null
CIBC-2019,12,null
CIBC-2018,1,2.83
CIBC-2018,2,6.20
CIBC-2018,3,9.59
CIBC-2018,4,12.50
CIBC-2018,5,15.72
CIBC-2018,6,19.65
CIBC-2018,7,22.96
CIBC-2018,8,25.88
CIBC-2018,9,30.91
CIBC-2018,10,35.47
CIBC-2018,11,42.08
CIBC-2018,12,45.46
INTRIA-2019,1,3.46
INTRIA-2019,2,6.57
INTRIA-2019,3,9.67
INTRIA-2019,4,12.77
INTRIA-2019,5,null
INTRIA-2019,6,null
INTRIA-2019,7,null
INTRIA-2019,8,null
INTRIA-2019,9,null
INTRIA-2019,10,null
INTRIA-2019,11,null
INTRIA-2019,12,null
INTRIA-2018,1,0.07
INTRIA-2018,2,0.14
INTRIA-2018,3,0.74
INTRIA-2018,4,0.99
INTRIA-2018,5,1.37
INTRIA-2018,6,1.70
INTRIA-2018,7,2.24
INTRIA-2018,8,2.82
INTRIA-2018,9,5.56
INTRIA-2018,10,8.83
INTRIA-2018,11,12.27
INTRIA-2018,12,16.12
INTRIA-2017,1,0.09
INTRIA-2017,2,0.17
INTRIA-2017,3,0.26
INTRIA-2017,4,0.34
INTRIA-2017,5,0.43
INTRIA-2017,6,0.52
INTRIA-2017,7,0.60
INTRIA-2017,8,0.69
INTRIA-2017,9,0.77
INTRIA-2017,10,0.86
INTRIA-2017,11,0.95
INTRIA-2017,12,1.03
