year,month,revenue
CIBC-2019,1,0.41
CIBC-2019,2,1.43
CIBC-2019,3,6.10
CIBC-2019,4,6.64
CIBC-2019,5,null
CIBC-2019,6,null
CIBC-2019,7,null
CIBC-2019,8,null
CIBC-2019,9,null
CIBC-2019,10,null
CIBC-2019,11,null
CIBC-2019,12,null
CIBC-2018,1,0.54
CIBC-2018,2,1.82
CIBC-2018,3,5.08
CIBC-2018,4,9.43
CIBC-2018,5,11.05
CIBC-2018,6,19.26
CIBC-2018,7,20.17
CIBC-2018,8,21.03
CIBC-2018,9,32.65
CIBC-2018,10,55.22
CIBC-2018,11,54.40
CIBC-2018,12,64.26
INTRIA-2019,1,null
INTRIA-2019,2,0.13
INTRIA-2019,3,0.13
INTRIA-2019,4,0.13
INTRIA-2019,5,null
INTRIA-2019,6,null
INTRIA-2019,7,null
INTRIA-2019,8,null
INTRIA-2019,9,null
INTRIA-2019,10,null
INTRIA-2019,11,null
INTRIA-2019,12,null
INTRIA-2018,1,null
INTRIA-2018,2,null
INTRIA-2018,3,null
INTRIA-2018,4,0.54
INTRIA-2018,5,0.78
INTRIA-2018,6,1.01
INTRIA-2018,7,1.25
INTRIA-2018,8,1.27
INTRIA-2018,9,1.27
INTRIA-2018,10,1.27
INTRIA-2018,11,1.27
INTRIA-2018,12,1.27
INTRIA-2017,1,null
INTRIA-2017,2,null
INTRIA-2017,3,null
INTRIA-2017,4,null
INTRIA-2017,5,null
INTRIA-2017,6,null
INTRIA-2017,7,null
INTRIA-2017,8,null
INTRIA-2017,9,null
INTRIA-2017,10,null
INTRIA-2017,11,null
INTRIA-2017,12,null
