year,month,revenue
MANULIFE-2019,1,null
MANULIFE-2019,2,-0.14
MANULIFE-2019,3,3.88
MANULIFE-2019,4,4.28
MANULIFE-2019,5,null
MANULIFE-2019,6,null
MANULIFE-2019,7,null
MANULIFE-2019,8,null
MANULIFE-2019,9,null
MANULIFE-2019,10,null
MANULIFE-2019,11,null
MANULIFE-2019,12,null
MANULIFE-2018,1,0.56
MANULIFE-2018,2,0.51
MANULIFE-2018,3,1.56
MANULIFE-2018,4,1.32
MANULIFE-2018,5,1.56
MANULIFE-2018,6,2.00
MANULIFE-2018,7,1.86
MANULIFE-2018,8,1.89
MANULIFE-2018,9,3.26
MANULIFE-2018,10,3.13
MANULIFE-2018,11,3.13
MANULIFE-2018,12,3.56
INSURANCE-2019,1,null
INSURANCE-2019,2,0.02
INSURANCE-2019,3,0.02
INSURANCE-2019,4,0.01
INSURANCE-2019,5,null
INSURANCE-2019,6,null
INSURANCE-2019,7,null
INSURANCE-2019,8,null
INSURANCE-2019,9,null
INSURANCE-2019,10,null
INSURANCE-2019,11,null
INSURANCE-2019,12,null
INSURANCE-2018,1,0.01
INSURANCE-2018,2,0.02
INSURANCE-2018,3,0.14
INSURANCE-2018,4,0.14
INSURANCE-2018,5,0.13
INSURANCE-2018,6,2.05
INSURANCE-2018,7,2.05
INSURANCE-2018,8,2.05
INSURANCE-2018,9,2.06
INSURANCE-2018,10,2.07
INSURANCE-2018,11,2.08
INSURANCE-2018,12,2.08
INSURANCE-2017,1,0.09
INSURANCE-2017,2,0.35
INSURANCE-2017,3,0.75
INSURANCE-2017,4,0.73
INSURANCE-2017,5,0.73
INSURANCE-2017,6,1.36
INSURANCE-2017,7,1.30
INSURANCE-2017,8,1.30
INSURANCE-2017,9,1.30
INSURANCE-2017,10,1.30
INSURANCE-2017,11,1.69
INSURANCE-2017,12,1.94
