year,month,revenue
MANULIFE-2019,1,14.12
MANULIFE-2019,2,-6.61
MANULIFE-2019,3,-7.78
MANULIFE-2019,4,-5.11
MANULIFE-2019,5,null
MANULIFE-2019,6,null
MANULIFE-2019,7,null
MANULIFE-2019,8,null
MANULIFE-2019,9,null
MANULIFE-2019,10,null
MANULIFE-2019,11,null
MANULIFE-2019,12,null
MANULIFE-2018,1,17.32
MANULIFE-2018,2,2.76
MANULIFE-2018,3,4.11
MANULIFE-2018,4,0.56
MANULIFE-2018,5,4.45
MANULIFE-2018,6,5.21
MANULIFE-2018,7,5.96
MANULIFE-2018,8,6.68
MANULIFE-2018,9,7.49
MANULIFE-2018,10,6.85
MANULIFE-2018,11,8.68
MANULIFE-2018,12,9.96
INSURANCE-2019,1,-145.39
INSURANCE-2019,2,-10.46
INSURANCE-2019,3,2.37
INSURANCE-2019,4,5.04
INSURANCE-2019,5,null
INSURANCE-2019,6,null
INSURANCE-2019,7,null
INSURANCE-2019,8,null
INSURANCE-2019,9,null
INSURANCE-2019,10,null
INSURANCE-2019,11,null
INSURANCE-2019,12,null
INSURANCE-2018,1,-25.86
INSURANCE-2018,2,-21.20
INSURANCE-2018,3,6.96
INSURANCE-2018,4,17.73
INSURANCE-2018,5,17.64
INSURANCE-2018,6,18.28
INSURANCE-2018,7,12.23
INSURANCE-2018,8,13.50
INSURANCE-2018,9,19.14
INSURANCE-2018,10,0.83
INSURANCE-2018,11,-6.54
INSURANCE-2018,12,15.59
INSURANCE-2017,1,14.64
INSURANCE-2017,2,-14.12
INSURANCE-2017,3,-1.33
INSURANCE-2017,4,-7.12
INSURANCE-2017,5,-13.87
INSURANCE-2017,6,7.15
INSURANCE-2017,7,11.26
INSURANCE-2017,8,7.84
INSURANCE-2017,9,18.18
INSURANCE-2017,10,10.07
INSURANCE-2017,11,18.29
INSURANCE-2017,12,19.99
