year,month,revenue
MANULIFE-2019,1,0.51
MANULIFE-2019,2,0.92
MANULIFE-2019,3,1.40
MANULIFE-2019,4,1.79
MANULIFE-2019,5,null
MANULIFE-2019,6,null
MANULIFE-2019,7,null
MANULIFE-2019,8,null
MANULIFE-2019,9,null
MANULIFE-2019,10,null
MANULIFE-2019,11,null
MANULIFE-2019,12,null
MANULIFE-2018,1,0.92
MANULIFE-2018,2,1.61
MANULIFE-2018,3,2.47
MANULIFE-2018,4,3.30
MANULIFE-2018,5,4.23
MANULIFE-2018,6,5.09
MANULIFE-2018,7,6.02
MANULIFE-2018,8,6.73
MANULIFE-2018,9,7.47
MANULIFE-2018,10,8.22
MANULIFE-2018,11,8.96
MANULIFE-2018,12,9.72
INSURANCE-2019,1,0.05
INSURANCE-2019,2,0.20
INSURANCE-2019,3,0.33
INSURANCE-2019,4,0.41
INSURANCE-2019,5,null
INSURANCE-2019,6,null
INSURANCE-2019,7,null
INSURANCE-2019,8,null
INSURANCE-2019,9,null
INSURANCE-2019,10,null
INSURANCE-2019,11,null
INSURANCE-2019,12,null
INSURANCE-2018,1,0.12
INSURANCE-2018,2,0.24
INSURANCE-2018,3,0.49
INSURANCE-2018,4,0.67
INSURANCE-2018,5,0.75
INSURANCE-2018,6,0.83
INSURANCE-2018,7,0.95
INSURANCE-2018,8,1.56
INSURANCE-2018,9,1.97
INSURANCE-2018,10,2.11
INSURANCE-2018,11,2.23
INSURANCE-2018,12,2.96
INSURANCE-2017,1,0.19
INSURANCE-2017,2,0.28
INSURANCE-2017,3,0.46
INSURANCE-2017,4,0.50
INSURANCE-2017,5,0.58
INSURANCE-2017,6,0.85
INSURANCE-2017,7,1.21
INSURANCE-2017,8,1.41
INSURANCE-2017,9,1.76
INSURANCE-2017,10,1.98
INSURANCE-2017,11,2.37
INSURANCE-2017,12,2.61
