year,month,revenue
RBC-2019,1,0.22
RBC-2019,2,0.60
RBC-2019,3,1.37
RBC-2019,4,1.84
RBC-2019,5,null
RBC-2019,6,null
RBC-2019,7,null
RBC-2019,8,null
RBC-2019,9,null
RBC-2019,10,null
RBC-2019,11,null
RBC-2019,12,null
RBC-2018,1,2.06
RBC-2018,2,2.55
RBC-2018,3,4.18
RBC-2018,4,4.94
RBC-2018,5,6.93
RBC-2018,6,8.22
RBC-2018,7,8.90
RBC-2018,8,9.02
RBC-2018,9,9.39
RBC-2018,10,10.01
RBC-2018,11,10.25
RBC-2018,12,11.61
RBC-2017,1,0.66
RBC-2017,2,5.17
RBC-2017,3,7.09
RBC-2017,4,8.50
RBC-2017,5,9.88
RBC-2017,6,10.70
RBC-2017,7,11.55
RBC-2017,8,11.67
RBC-2017,9,13.09
RBC-2017,10,13.57
RBC-2017,11,13.99
RBC-2017,12,18.64
