year,month,revenue
SCOTIA-2019,1,1.83
SCOTIA-2019,2,1.15
SCOTIA-2019,3,11.09
SCOTIA-2019,4,12.70
SCOTIA-2019,5,null
SCOTIA-2019,6,null
SCOTIA-2019,7,null
SCOTIA-2019,8,null
SCOTIA-2019,9,null
SCOTIA-2019,10,null
SCOTIA-2019,11,null
SCOTIA-2019,12,null
SCOTIA-2018,1,0.13
SCOTIA-2018,2,1.03
SCOTIA-2018,3,1.96
SCOTIA-2018,4,7.41
SCOTIA-2018,5,8.17
SCOTIA-2018,6,8.30
SCOTIA-2018,7,8.32
SCOTIA-2018,8,9.18
SCOTIA-2018,9,20.52
SCOTIA-2018,10,23.32
SCOTIA-2018,11,23.31
SCOTIA-2018,12,23.36
SCOTIA-2017,1,1.14
SCOTIA-2017,2,1.83
SCOTIA-2017,3,2.25
SCOTIA-2017,4,4.90
SCOTIA-2017,5,4.49
SCOTIA-2017,6,5.00
SCOTIA-2017,7,5.38
SCOTIA-2017,8,6.00
SCOTIA-2017,9,6.61
SCOTIA-2017,10,11.16
SCOTIA-2017,11,15.76
SCOTIA-2017,12,20.59
